|NAME: LUSAKA CITY COUNCIL|||||||||||
|2026  PERFORMANCE REPORT|||Period: 01-Jan-2026 to 30-Jun-2026||||||||
|REVENUE SOURCES|||||||||||
|#|Receipts|Budget|Actual|Varinace|Performance||||||
||||as at 30-Jun- 2026||||||||
|||a|b|c=a-b|b/a||||||
|||ZMW|ZMW|ZMW|%||||||
||Community AIDS Task Forces (CATFs) Formed||||||||||
||    Number of CATFs formed||38||||||||
||Tree Planting Conducted||||||||||
||    Number of trees planted||5000||1472|0|-3528|0.2944|||
||Environmental Policy Formulated||||||||||
||    Number of environmental policy formulated||1||0|0|-1|0|||
||Environmental Compliance Audits Conducted||||||||||
||    Number of industries inspected||576||40|0|-536|0.06944444444444445|||
||Environmental Awareness Conducted||||||||||
||    Number of Awareness Campaigns conducted||48||15|0|-33|0.3125|||
||Economic and Business Development|49870563||25157751.54||-24712811.46|||||
||Key Output / Output Indicator|Annual Budget|Target 2026|Actual Expenditure (n/a by indicator)|Actual 2026|Actual 2026|Actual 2026|Actual 2026|||
||Business Registration and Compliance Enhanced||||||||||
||    Number of sensitization meetings conducted||7||0|0|-7|0|||
||Investment Promotion Strengthened||||||||||
||    Number of investment promotion exhibitions held||2||1|0|-1|0.5|||
||    Percentage of investment inquiries facilitated||100%||0|0|-1|0|||
||    Number of investment feasibility studies conducted||1||0|0|-1|0|||
||District Investment Feasibility Studies Conducted||||||||||
||    Number of district investment feasibility studies conducted||1||0|0|-1|0|||
||Public Health and Environmental Protection|73580959||16260095.61||-57320863.39|||||
||Key Output / Output Indicator|Annual Budget|Target 2026|Actual Expenditure (n/a by indicator)|Actual 2026|Actual 2026|Actual 2026|Actual 2026|||
||Public Health and Sanitation Operations Conducted||||||||||
||    Number of Keep Lusaka Clean operations conducted||364||228|0|-136|0.6263736263736264|||
||    Number of Health permits issued||13000||8400|0|-4600|0.6461538461538462|||
||    Number of public health inspections undertaken||15000||4000|0|-11000|0.26666666666666666|||
||Safe Burial and Death Management Services Provided||||||||||
||    Percentage of unclaimed bodies buried||100%||100%|0|0|1|||
||    Number of burial services conducted||3498||1899|0|-1599|0.5428816466552315|||
||    Number of deaths registered||17717||8792|0|-8925|0.49624654286843145|||
||Food and Water Safety Assured||||||||||
||    Percentage of water samples tested||100%||50%|0|-0.5|0.5|||
||    Percentage of food samples tested||100%||50%|0|-0.5|0.5|||
||    Percentage of carcasses inspected||100%||50%|0|-0.5|0.5|||
||Pest and Animal Control Services Provided||||||||||
||    Number of mosquito hot spots larvicided||7||4|0|-3|0.5714285714285714|||
||    Number of dogs registered||100||486|0|386|4.86|||
||    Number of dogs tagged||100||200|0|100|2|||
||    Number of premises baited/sprayed||265||2633|0|2368|9.935849056603773|||
||Housing and Community Amenities|146923352||28806873.18||-118116478.82|||||
||Key Output / Output Indicator|Annual Budget|Target 2026|Actual Expenditure (n/a by indicator)|Actual 2026|Actual 2026|Actual 2026|Actual 2026|||
||Urban Green Spaces Developed & Maintained||||||||||
||    Number of play parks developed||1||0|0|-1|0|||
||    Number of tree trimming and debris removal exercises conducted||168||84|0|-84|0.5|||
||Market Services & Sanitation Improved||||||||||
||    Number of market stands registered||695||396|0|-299|0.5697841726618705|||
||    Number of market shops registered||215||46|0|-169|0.21395348837209302|||
||    Number of occupancy permits renewed||7000||4200|0|-2800|0.6|||
||    Number of food systems trainings conducted||4||2|0|-2|0.5|||
||Local Authority Infrastructure Constructed||||||||||
||    Number of Community Halls rehabilitated||8||2|0|-6|0.25|||
||    Number of Community Schools rehabilitated||2||1|0|-1|0.5|||
||    Number of Pre-Schools rehabilitated||2||1|0|-1|0.5|||
||    Number of Classroom Blocks constructed||2||1|0|-1|0.5|||
||    Number of School Ablution Blocks constructed||2||1|0|-1|0.5|||
||    Number of Mini Civic Centres completed||3||2|0|-1|0.6666666666666666|||
||Security of Tenure Strengthened||||||||||
||    Number of properties numbered||7000||3585|0|-3415|0.5121428571428571|||
||    Number of households registered||5500||2239|0|-3261|0.4070909090909091|||
||    Number of Occupancy licence documents processed||70||45|0|-25|0.6428571428571429|||
||    Number of communities sensitized||8||5|0|-3|0.625|||
||Road Infrastructure Developed and Maintained||||||||||
||    Kilometers of roads marked||50||6|0|-44|0.12|||
||    Kilometers of drainage constructed||10||1|0|-9|0.1|||
||    Kilometers of Township roads rehabilitated||30||15|0|-15|0.5|||
||    Kilometers of potholes patched||20||10|0|-10|0.5|||
||Road Safety and Traffic Management Improved||||||||||
||    Number of Speed Humps installed||30||25|0|-5|0.8333333333333334|||
||    Number of Road Signs installed||60||96|0|36|1.6|||
||Non-Motorized Transport (NMT) Infrastructure Development and Maintenance Enhanced||||||||||
||    Kilometers of pedestrian walkways constructed||1||0|0|-1|0|||
||    Kilometers of pedestrian walkways maintained||1||0|0|-1|0|||
||    Kilometers of cycle lanes constructed||2||0|0|-2|0|||
||Street Lighting and Traffic Control Systems Improved||||||||||
||    Number of Street lighting poles erected||100||26|0|-74|0.26|||
||    Number of traffic lights junctions maintained||5||1|0|-4|0.2|||
||Recreation Culture and Religion|12177783||3214260||-8963523|||||
||Key Output / Output Indicator|Annual Budget|Target 2026|Actual Expenditure (n/a by indicator)|Actual 2026|Actual 2026|Actual 2026|Actual 2026|||
||Library & Information Services Enhanced||||||||||
||    Number of Library Facilities upgraded||1||0|0|-1|0|||
||Sports, Arts & Cultural Development Promoted||||||||||
||    Number of sports facilities rehabilitated||2||1|0|-1|0.5|||
||    Number of talent identification and development activities conducted||2||3|0|1|1.5|||
||    Number of sports clubs sponsored||4||4|0|0|1|||
||Education and Skills Development|34141037||13422499.49||-20718537.509999998|||||
||Key Output / Output Indicator|Annual Budget|Target 2026|Actual Expenditure (n/a by indicator)|Actual 2026|Actual 2026|Actual 2026|Actual 2026|||
||District Records Management Strengthened||||||||||
||    Number of survey reports produced||2||0|0|-2|0|||
||    Percentage of records collected||100%||100%|0|0|1|||
||    Percentage of processed records shelved||100%||100%|0|0|1|||
||Quality Early Childhood Education Services Expanded||||||||||
||    Number of play spaces established||9||1|0|-8|0.1111111111111111|||
